,county_fips,period_end,property_type,property_type_id,median_sale_price_yoy,median_list_price_yoy,median_ppsf_yoy,median_list_ppsf_yoy,homes_sold_yoy,new_listings_yoy,inventory_yoy,months_of_supply_yoy,median_dom_yoy,avg_sale_to_list_yoy,sold_above_list_yoy,date,year,month
239,27071,2016-12-31,All Residential,-1,-0.200930232558139,-0.812280701754386,0.394016311584554,-0.685461232512979,0.5,-0.416666666666667,1.36363636363636,6.3,0.0,-0.0451573847880982,0.0,2016-12-31,2016,12
246,42059,2018-12-31,All Residential,-1,-0.159058487874465,-0.407813871817384,0.0777191883399979,-0.330128064869039,0.230769230769231,0.142857142857143,-0.0987654320987654,-1.6,-40.0,0.0114046716339295,-0.153846153846154,2018-12-31,2018,12
251,13119,2013-12-31,All Residential,-1,0.943096234309623,-0.127152630337344,0.253415214450649,-0.268109130913375,0.125,0.0,-0.11578947368421,-2.6,143.0,0.0042548355171697,0.208333333333333,2013-12-31,2013,12
257,18133,2013-12-31,All Residential,-1,0.0584033613445378,1.70471014492754,0.0532872188736843,2.17398039747492,-0.714285714285714,-0.888888888888889,-0.8125,-1.7,-36.0,0.018552934354622,-0.0714285714285714,2013-12-31,2013,12
274,13021,2014-12-31,All Residential,-1,0.0339915689918219,0.576266919695591,0.2269228402268,0.224565894010363,0.208333333333333,0.818181818181818,0.363636363636363,1.0,-80.0,0.0027469388895543,-0.028735632183908,2014-12-31,2014,12
287,17189,2015-12-31,All Residential,-1,-0.357294878728919,0.0586034912718205,-0.39444189717669,0.488542329332678,-0.444444444444444,0.0,0.290322580645161,4.6,-36.0,0.0413423831623228,0.2,2015-12-31,2015,12
294,41005,2019-12-31,All Residential,-1,0.0220930232558138,0.0401270887267592,0.0533329466582719,0.0232738061496047,0.181818181818182,0.154545454545455,-0.0769230769230768,-0.6,-16.0,0.0060475064567104,0.0600375234521575,2019-12-31,2019,12
304,47139,2012-12-31,All Residential,-1,0.692307692307692,2.07570977917981,0.398714569750775,0.749083511783375,-0.666666666666667,0.0,-0.571428571428571,2.0,988.0,0.111493093986816,0.0,2012-12-31,2012,12
308,06115,2012-12-31,All Residential,-1,-0.0806451612903226,,-0.112501973830117,,-0.142857142857143,,-0.5,-0.3,,0.0036082917227466,0.19047619047619,2012-12-31,2012,12
316,40051,2015-12-31,All Residential,-1,0.117241379310345,0.220169361046959,0.180856180856181,0.115607111111111,0.121951219512195,,,3.1,,0.038451029785978,0.193001060445387,2015-12-31,2015,12
317,12127,2018-12-31,All Residential,-1,0.106971793507185,0.116111111111111,0.078536303524427,0.083059270727926,-0.0510725229826353,0.0789808917197452,0.221879286694102,0.8,3.0,0.0047409903857145,0.0121760413242132,2018-12-31,2018,12
327,08109,2015-12-31,All Residential,-1,0.416122004357298,-0.0769230769230768,0.618760612067237,-0.0409590409590409,-0.375,0.666666666666667,-0.291666666666667,1.6,-26.0,0.167630914009358,0.0,2015-12-31,2015,12
