,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
160,151600.0,87.5862068965517,171700.0,98.6908078850946,178034.0
175,128500.0,87.5234521575985,149900.0,94.4567783635941,163350.0
176,153000.0,90.341655716163,172000.0,95.2857142857143,166500.0
177,155800.0,93.7752627324171,160000.0,94.8076923076923,174500.0
178,145300.0,96.5954482551418,172637.5,100.134559134657,191950.0
179,172000.0,104.867933598841,164000.0,105.808903365907,198900.0
180,164600.0,113.838047698281,214600.0,119.794520547945,238000.0
185,191700.0,93.4579439252336,204750.0,94.8310810810811,190529.0
186,197300.0,96.3912497686877,190000.0,99.00625,199950.0
187,199200.0,99.7228514323784,199900.0,103.285845588235,211965.5
188,207300.0,102.550341778839,235000.0,106.528980679547,248450.0
189,217900.0,113.216396758929,229900.0,115.942928039702,250000.0
190,229600.0,114.438258730413,264900.0,119.535428351377,260000.0
195,92800.0,58.7676474156219,132000.0,85.9611883559051,135027.0
196,99100.0,78.1396262553802,136700.0,73.109243697479,126250.0
197,95200.0,77.0426400310506,109900.0,63.0107744549855,134290.5
198,103200.0,67.2593831038202,149825.0,80.8389583386701,139000.0
199,115800.0,72.992700729927,125000.0,71.4192919779149,108500.0
200,119500.0,84.1829284481614,145000.0,82.9689952904239,164400.0
205,289400.0,168.057005335189,282500.0,170.945060746689,297700.0
206,302500.0,170.08681925809,295000.0,174.443256344454,304900.0
207,320800.0,170.394736842105,279200.0,175.96938896683,298500.0
208,320000.0,168.208578637511,299000.0,177.914110429448,304900.0
209,321300.0,172.469458987784,269950.0,169.476294849429,317000.0
210,314600.0,169.96699669967,296700.0,170.927684441198,333500.0
215,237400.0,117.464539007092,249900.0,131.023720349563,235508.5
216,229300.0,135.162888187082,333000.0,130.018587360595,213250.0
217,226900.0,139.390272141849,211900.0,130.208333333333,199900.0
218,239000.0,136.567647058824,239900.0,131.843065693431,243000.0
219,259500.0,146.786324786325,229900.0,151.208178438662,241000.0
245,227000.0,137.642045454545,222500.0,138.516212406015,240000.0
246,236100.0,139.479905437352,248375.5,143.061272636022,257500.0
247,244500.0,146.070146375762,225000.0,142.006192393234,238250.0
248,254000.0,138.809126644923,240000.0,153.695229291333,259000.0
249,251800.0,151.722252597048,282000.0,159.024821433825,264000.0
250,261800.0,148.908296943231,240000.0,161.604361370717,311000.0
255,144800.0,75.5461581586251,120000.0,70.3794369645043,135000.0
256,146900.0,76.5480253534861,125000.0,75.3588516746411,134250.0
257,130100.0,86.4167916041979,135000.0,86.4692837675419,140450.0
258,155600.0,79.1869840668926,109900.0,77.3818687415051,145000.0
259,142200.0,95.166729112027,119000.0,78.125,157000.0
