date,county_fips,Pred_log_median_sale_price,median_sale_price,year,log_median_sale_price,region,log_pred_errors
2020-11-01,12033,12.351877120380422,235154.0,2020,12.3679958976474,"Escambia County, FL",0.016118777266978412
2020-12-01,12033,12.359639538583206,232226.0,2020,12.355466314415036,"Escambia County, FL",-0.004173224168170009
2020-01-01,12035,12.654570678568287,201450.0,2020,12.213296490619493,"Flagler County, FL",-0.44127418794879425
2020-02-01,12035,12.642970572013738,270000.0,2020,12.506177237980511,"Flagler County, FL",-0.1367933340332268
2020-03-01,12035,12.670641947717641,251250.0,2020,12.434203738355423,"Flagler County, FL",-0.23643820936221793
2020-04-01,12035,12.695469311251523,244500.0,2020,12.406970587897064,"Flagler County, FL",-0.2884987233544596
2020-05-01,12035,12.754291491282325,275000.0,2020,12.524526376648708,"Flagler County, FL",-0.22976511463361682
2020-06-01,12035,12.79702653687025,271000.0,2020,12.509874099861838,"Flagler County, FL",-0.2871524370084124
2020-07-01,12035,12.804928627605367,302450.0,2020,12.61967125353506,"Flagler County, FL",-0.18525737407030718
2020-08-01,12035,12.843046175297186,309000.0,2020,12.641096555879882,"Flagler County, FL",-0.20194961941730405
2020-09-01,12035,12.88492648038762,360000.0,2020,12.793859310432293,"Flagler County, FL",-0.09106716995532693
2020-10-01,12035,12.930725079545793,365500.0,2020,12.80902155817197,"Flagler County, FL",-0.12170352137382245
2020-11-01,12035,12.955496491021131,339900.0,2020,12.736406735684207,"Flagler County, FL",-0.21908975533692399
2020-12-01,12035,12.978192959101722,287500.0,2020,12.568978139219542,"Flagler County, FL",-0.40921481988218034
2020-01-01,12037,12.768271830785793,310000.0,2020,12.644327576461329,"Franklin County, FL",-0.12394425432446354
2020-02-01,12037,12.808944643052678,250000.0,2020,12.429216196844383,"Franklin County, FL",-0.37972844620829527
2020-03-01,12037,12.873968208368085,200000.0,2020,12.206072645530174,"Franklin County, FL",-0.6678955628379111
2020-04-01,12037,12.924556157376895,277500.0,2020,12.533576212168626,"Franklin County, FL",-0.39097994520826873
2020-05-01,12037,12.967962126091216,242000.0,2020,12.396693005138824,"Franklin County, FL",-0.5712691209523921
2020-06-01,12037,13.005021423119064,315000.0,2020,12.66032791780777,"Franklin County, FL",-0.3446935053112945
2020-07-01,12037,13.115253580759271,327500.0,2020,12.699243334057444,"Franklin County, FL",-0.41601024670182696
2020-08-01,12037,13.146415058363594,315000.0,2020,12.66032791780777,"Franklin County, FL",-0.48608714055582425
2020-09-01,12037,13.234397343088899,395000.0,2020,12.886641043883259,"Franklin County, FL",-0.3477562992056402
2020-10-01,12037,13.296738561908363,325200.0,2020,12.692195656655793,"Franklin County, FL",-0.6045429052525702
2020-11-01,12037,13.332776581516859,296425.0,2020,12.599549514326272,"Franklin County, FL",-0.7332270671905867
2020-12-01,12037,13.435178824460177,450000.0,2020,13.017002861746503,"Franklin County, FL",-0.41817596271367385
2020-01-01,12039,11.989448638510327,176450.0,2020,12.080792829103416,"Gadsden County, FL",0.09134419059308918
2020-02-01,12039,12.00223399435092,162500.0,2020,11.998433280751929,"Gadsden County, FL",-0.0038007135989914786
2020-03-01,12039,11.978339701251816,118500.0,2020,11.682668239557323,"Gadsden County, FL",-0.2956714616944929
2020-04-01,12039,11.98320248748982,152450.0,2020,11.934591952416401,"Gadsden County, FL",-0.048610535073418504
2020-05-01,12039,11.978227423486207,169900.0,2020,12.042965307660024,"Gadsden County, FL",0.06473788417381776
2020-06-01,12039,11.969167633692194,171500.0,2020,12.052338545588132,"Gadsden County, FL",0.0831709118959374
2020-07-01,12039,11.978856872383176,173700.0,2020,12.065084952229196,"Gadsden County, FL",0.08622807984601977
2020-08-01,12039,11.987803746201129,199000.0,2020,12.201060103706629,"Gadsden County, FL",0.2132563575055002
2020-09-01,12039,11.966941999255814,145000.0,2020,11.884489021402711,"Gadsden County, FL",-0.08245297785310335
2020-10-01,12039,11.959846175161188,216500.0,2020,12.285345826424681,"Gadsden County, FL",0.32549965126349356
2020-11-01,12039,11.967492113769143,188000.0,2020,12.144197241812087,"Gadsden County, FL",0.17670512804294347
2020-12-01,12039,11.952048840494756,204000.0,2020,12.225875272826354,"Gadsden County, FL",0.27382643233159776
2020-01-01,12043,11.677729098559963,192500.0,2020,12.167851432709975,"Glades County, FL",0.49012233415001205
2020-02-01,12043,11.569849939875242,165000.0,2020,12.013700752882718,"Glades County, FL",0.44385081300747586
2020-03-01,12043,11.6482892821308,242500.0,2020,12.398756989359676,"Glades County, FL",0.750467707228875
2020-04-01,12043,11.597205092439026,153250.0,2020,11.939825853798459,"Glades County, FL",0.34262076135943254
2020-05-01,12043,11.591638244155554,209500.0,2020,12.25247901834433,"Glades County, FL",0.6608407741887756
2020-06-01,12043,11.571036419401848,110000.0,2020,11.608235644774552,"Glades County, FL",0.0371992253727047
2020-07-01,12043,11.558868227026602,88000.0,2020,11.385092093460344,"Glades County, FL",-0.17377613356625865
2020-08-01,12043,11.53296811278868,194950.0,2020,12.180498394410744,"Glades County, FL",0.647530281622064
2020-09-01,12043,11.465362592123672,205000.0,2020,12.230765258120545,"Glades County, FL",0.7654026659968736
2020-10-01,12043,11.45672089750215,209000.0,2020,12.250089530946948,"Glades County, FL",0.793368633444798
2020-11-01,12043,11.490210867412243,210000.0,2020,12.254862809699606,"Glades County, FL",0.7646519422873634
2020-12-01,12043,11.484555850285057,150000.0,2020,11.918390573078392,"Glades County, FL",0.43383472279333546
2020-01-01,12051,12.032961243944095,135500.0,2020,11.816726919301892,"Hendry County, FL",-0.21623432464220294
2020-02-01,12051,12.04632763393844,150000.0,2020,11.918390573078392,"Hendry County, FL",-0.12793706086004697
2020-03-01,12051,12.060015238041423,132750.0,2020,11.796222939104185,"Hendry County, FL",-0.2637922989372381
2020-04-01,12051,12.102536853567209,143500.0,2020,11.874090314181814,"Hendry County, FL",-0.22844653938539494
2020-05-01,12051,12.090721038135284,143500.0,2020,11.874090314181814,"Hendry County, FL",-0.21663072395346994
2020-06-01,12051,12.088803668793984,198000.0,2020,12.196022309676673,"Hendry County, FL",0.10721864088268873
2020-07-01,12051,12.121058390669932,140950.0,2020,11.856160496542259,"Hendry County, FL",-0.26489789412767273
2020-08-01,12051,12.133928618939365,169000.0,2020,12.037653993905211,"Hendry County, FL",-0.09627462503415352
2020-09-01,12051,12.17801136801532,194500.0,2020,12.178187442040638,"Hendry County, FL",0.00017607402531893968
2020-10-01,12051,12.152325622509053,197000.0,2020,12.190959007720126,"Hendry County, FL",0.038633385211072735
2020-11-01,12051,12.163825998386006,187500.0,2020,12.141534124392603,"Hendry County, FL",-0.022291873993403044
2020-12-01,12051,12.194227304942993,245000.0,2020,12.409013489526863,"Hendry County, FL",0.2147861845838701
2020-01-01,12053,12.113931222150068,186500.0,2020,12.136186518066006,"Hernando County, FL",0.022255295915938333
2020-02-01,12053,12.117731623649936,189950.0,2020,12.154516158615772,"Hernando County, FL",0.036784534965836
2020-03-01,12053,12.126991503845037,199900.0,2020,12.205572520488492,"Hernando County, FL",0.0785810166434544
2020-04-01,12053,12.13102088694128,195000.0,2020,12.180754837545884,"Hernando County, FL",0.04973395060460284
2020-05-01,12053,12.135024330245862,199900.0,2020,12.205572520488492,"Hernando County, FL",0.07054819024262926
2020-06-01,12053,12.13946671022172,195000.0,2020,12.180754837545884,"Hernando County, FL",0.041288127324163426
2020-07-01,12053,12.146211114221972,200000.0,2020,12.206072645530174,"Hernando County, FL",0.05986153130820249
2020-08-01,12053,12.149221121332113,217000.0,2020,12.287652632522597,"Hernando County, FL",0.13843151119048436
2020-09-01,12053,12.153976844307119,212850.0,2020,12.268342971256299,"Hernando County, FL",0.11436612694918047
2020-10-01,12053,12.156791528243371,212250.0,2020,12.265520104173595,"Hernando County, FL",0.10872857593022367
2020-11-01,12053,12.160043080689741,214000.0,2020,12.273731294003989,"Hernando County, FL",0.11368821331424783
2020-12-01,12053,12.163732898070972,218525.0,2020,12.294655703448688,"Hernando County, FL",0.1309228053777165
2020-01-01,12057,12.395219612641304,244990.0,2020,12.408972672367325,"Hillsborough County, FL",0.013753059726020922
2020-02-01,12057,12.395653305358682,245000.0,2020,12.409013489526863,"Hillsborough County, FL",0.013360184168181632
2020-03-01,12057,12.399867462172212,250000.0,2020,12.429216196844383,"Hillsborough County, FL",0.029348734672170806
2020-04-01,12057,12.407306471415477,256240.0,2020,12.45386978428304,"Hillsborough County, FL",0.04656331286756199
2020-05-01,12057,12.41087294276525,262000.0,2020,12.476099782743233,"Hillsborough County, FL",0.06522683997798318
2020-06-01,12057,12.413404291390352,259900.0,2020,12.468052220629582,"Hillsborough County, FL",0.054647929239230564
2020-07-01,12057,12.41412582952767,269900.0,2020,12.505806799006097,"Hillsborough County, FL",0.09168096947842663
2020-08-01,12057,12.415573345437272,270000.0,2020,12.506177237980511,"Hillsborough County, FL",0.09060389254323908
2020-09-01,12057,12.41399699740802,274945.0,2020,12.524326356646041,"Hillsborough County, FL",0.11032935923802079
2020-10-01,12057,12.414225601306782,265000.0,2020,12.487485104968359,"Hillsborough County, FL",0.07325950366157663
2020-11-01,12057,12.414892339003435,275000.0,2020,12.524526376648708,"Hillsborough County, FL",0.10963403764527335
2020-12-01,12057,12.41830966243895,277125.0,2020,12.532223946918613,"Hillsborough County, FL",0.11391428447966234
2020-01-01,12061,12.407413502051309,230000.0,2020,12.345834587905333,"Indian River County, FL",-0.061578914145975716
2020-02-01,12061,12.41111527986921,230165.0,2020,12.346551722007542,"Indian River County, FL",-0.06456355786166768
2020-03-01,12061,12.41899912676066,252655.0,2020,12.43978020074786,"Indian River County, FL",0.02078107398719986
2020-04-01,12061,12.426110336893512,255730.0,2020,12.451877479387463,"Indian River County, FL",0.025767142493950956
2020-05-01,12061,12.430998118369665,252983.5,2020,12.441079548191606,"Indian River County, FL",0.010081429821941157
2020-06-01,12061,12.434634455477527,240000.0,2020,12.388394202324129,"Indian River County, FL",-0.04624025315339786
2020-07-01,12061,12.440715359123537,249237.5,2020,12.426161536115155,"Indian River County, FL",-0.014553823008382594
2020-08-01,12061,12.447946949810854,254000.0,2020,12.445089546000673,"Indian River County, FL",-0.0028574038101805144
2020-09-01,12061,12.449658266757972,259000.0,2020,12.464583340681674,"Indian River County, FL",0.01492507392370257
2020-10-01,12061,12.451377531176721,268000.0,2020,12.498742259492994,"Indian River County, FL",0.04736472831627303
2020-11-01,12061,12.456924588088679,264481.5,2020,12.48552658454512,"Indian River County, FL",0.028601996456441015
2020-12-01,12061,12.46171857020534,269990.0,2020,12.506140200257587,"Indian River County, FL",0.04442163005224664
2020-01-01,12065,12.339148238771283,299000.0,2020,12.608198852372823,"Jefferson County, FL",0.26905061360153937
2020-02-01,12065,12.197769048090331,275000.0,2020,12.524526376648708,"Jefferson County, FL",0.3267573285583776
2020-03-01,12065,12.189759937363839,180000.0,2020,12.100712129872347,"Jefferson County, FL",-0.08904780749149133
2020-04-01,12065,12.152883041251188,278500.0,2020,12.537173338349476,"Jefferson County, FL",0.3842902970982873
2020-05-01,12065,12.166132291775392,297200.0,2020,12.602160591825742,"Jefferson County, FL",0.4360283000503493
2020-06-01,12065,12.123603233270632,200000.0,2020,12.206072645530174,"Jefferson County, FL",0.08246941225954174
2020-07-01,12065,12.057213558375555,288000.0,2020,12.570715759118084,"Jefferson County, FL",0.5135022007425292
2020-08-01,12065,12.076313001842628,210000.0,2020,12.254862809699606,"Jefferson County, FL",0.17854980785697805
2020-09-01,12065,12.03487613774912,236500.0,2020,12.373703486914124,"Jefferson County, FL",0.3388273491650047
2020-10-01,12065,12.060148396586099,237000.0,2020,12.375815420117268,"Jefferson County, FL",0.3156670235311694
2020-11-01,12065,12.042315928313103,253500.0,2020,12.443119102013375,"Jefferson County, FL",0.40080317370027174
2020-12-01,12065,12.040834923853815,198500.0,2020,12.198544379109382,"Jefferson County, FL",0.15770945525556712
2020-01-01,12069,12.4075189011089,245000.0,2020,12.409013489526863,"Lake County, FL",0.0014945884179624613
2020-02-01,12069,12.405544513006584,245000.0,2020,12.409013489526863,"Lake County, FL",0.003468976520279554
2020-03-01,12069,12.408680563365305,249900.0,2020,12.428816116823043,"Lake County, FL",0.020135553457738098
2020-04-01,12069,12.416868922300198,248000.0,2020,12.421184025147118,"Lake County, FL",0.004315102846920382
2020-05-01,12069,12.418934641422082,255990.0,2020,12.45289366019874,"Lake County, FL",0.03395901877665786
2020-06-01,12069,12.422003984681378,262592.5,2020,12.47835867989461,"Lake County, FL",0.056354695213231665
2020-07-01,12069,12.420682546772104,262650.0,2020,12.478577626382108,"Lake County, FL",0.057895079610004174
2020-08-01,12069,12.424104676795293,260000.0,2020,12.468436909997665,"Lake County, FL",0.044332233202371896
2020-09-01,12069,12.426617792008745,260000.0,2020,12.468436909997665,"Lake County, FL",0.04181911798892024
2020-10-01,12069,12.425161344705424,265000.0,2020,12.487485104968359,"Lake County, FL",0.06232376026293451
2020-11-01,12069,12.427405582631213,268000.0,2020,12.498742259492994,"Lake County, FL",0.07133667686178136
2020-12-01,12069,12.430599172124474,264900.0,2020,12.48710767526016,"Lake County, FL",0.056508503135686894
2020-01-01,12071,12.388357133743236,239500.0,2020,12.386308695833106,"Lee County, FL",-0.0020484379101297634
2020-02-01,12071,12.389281739818758,244000.0,2020,12.404923504275338,"Lee County, FL",0.015641764456580276
2020-03-01,12071,12.393432085171746,249500.0,2020,12.427214194173711,"Lee County, FL",0.03378210900196521
2020-04-01,12071,12.396401989605387,250000.0,2020,12.429216196844383,"Lee County, FL",0.03281420723899586
2020-05-01,12071,12.402218664720975,243000.0,2020,12.400816722322686,"Lee County, FL",-0.0014019423982887247
2020-06-01,12071,12.400745448223637,240000.0,2020,12.388394202324129,"Lee County, FL",-0.012351245899507646
2020-07-01,12071,12.399061751512448,256250.0,2020,12.453908809434756,"Lee County, FL",0.054847057922307485
2020-08-01,12071,12.40075175430437,265000.0,2020,12.487485104968359,"Lee County, FL",0.08673335066398913
2020-09-01,12071,12.401398442374964,262500.0,2020,12.478006361013815,"Lee County, FL",0.0766079186388513
2020-10-01,12071,12.405709059901515,270000.0,2020,12.506177237980511,"Lee County, FL",0.10046817807899622
2020-11-01,12071,12.408554153199336,277000.0,2020,12.531772785169476,"Lee County, FL",0.12321863197013982
2020-12-01,12071,12.411051765585636,282700.0,2020,12.552141543681682,"Lee County, FL",0.1410897780960454
2020-01-01,12073,12.242996367249535,214937.5,2020,12.278102567174622,"Leon County, FL",0.03510619992508701
2020-02-01,12073,12.25066089664354,199000.0,2020,12.201060103706629,"Leon County, FL",-0.049600792936910665
2020-03-01,12073,12.259684740810611,225000.0,2020,12.323855681186558,"Leon County, FL",0.06417094037594673
2020-04-01,12073,12.265520420514544,226000.0,2020,12.328290278254423,"Leon County, FL",0.06276985773987853
2020-05-01,12073,12.273428509244827,228100.0,2020,12.337539408272479,"Leon County, FL",0.06411089902765177
2020-06-01,12073,12.286349184547722,217000.0,2020,12.287652632522597,"Leon County, FL",0.0013034479748750272
2020-07-01,12073,12.300957421902924,210000.0,2020,12.254862809699606,"Leon County, FL",-0.04609461220331745
2020-08-01,12073,12.30552625223279,226714.0,2020,12.331444590212993,"Leon County, FL",0.02591833798020282
2020-09-01,12073,12.311230930818839,250000.0,2020,12.429216196844383,"Leon County, FL",0.11798526602554382
2020-10-01,12073,12.318265060674278,245600.0,2020,12.411459475255125,"Leon County, FL",0.09319441458084654
2020-11-01,12073,12.328357386907875,250000.0,2020,12.429216196844383,"Leon County, FL",0.10085880993650775
2020-12-01,12073,12.33842745337274,230250.0,2020,12.346920954117554,"Leon County, FL",0.008493500744814142
2020-01-01,12075,11.982117007209425,177750.0,2020,12.088133347665487,"Levy County, FL",0.1060163404560619
2020-02-01,12075,11.970631183218387,199900.0,2020,12.205572520488492,"Levy County, FL",0.23494133727010436
2020-03-01,12075,12.000659762352532,180000.0,2020,12.100712129872347,"Levy County, FL",0.10005236751981528
2020-04-01,12075,11.997011181237196,165500.0,2020,12.016726473799254,"Levy County, FL",0.01971529256205784
2020-05-01,12075,11.98204509747566,218000.0,2020,12.292250341771226,"Levy County, FL",0.31020524429556495
2020-06-01,12075,11.965817856129929,167750.0,2020,12.030230054833929,"Levy County, FL",0.06441219870399983
2020-07-01,12075,11.99962885273193,247000.0,2020,12.417143615610113,"Levy County, FL",0.41751476287818257
2020-08-01,12075,12.011371232482682,232295.0,2020,12.35576339463534,"Levy County, FL",0.34439216215265667
2020-09-01,12075,11.998463018453942,182300.0,2020,12.113408960666755,"Levy County, FL",0.11494594221281318
2020-10-01,12075,11.990935715581431,176750.0,2020,12.08249158375882,"Levy County, FL",0.09155586817738914
2020-11-01,12075,12.0127414742042,146900.0,2020,11.897507362161969,"Levy County, FL",-0.11523411204223066
